country,life_expectancy,distance,population,count,gdp,size
BOL,67.21736585,16.80434146,10561887,1.0561887,30601157742,1.74931866
SOM,55.0245122,13.75612805,10517569,1.0517569,0,0
CZE,78.27804878,19.5695122,10510566,1.0510566,2.08796E+11,4.569420364
DOM,73.45095122,18.3627378,10405943,1.0405943,61198258779,2.473828183
PRT,80.37317073,20.09329268,10397393,1.0397393,2.24912E+11,4.742493867
HUN,75.26829268,18.81707317,9861673,0.9861673,1.33424E+11,3.652723622
SWE,81.70487805,20.42621951,9689555,0.9689555,5.79526E+11,7.612660564
AZE,70.69314634,17.67328659,9537823,0.9537823,73560484385,2.712203613
BLR,72.47073171,18.11768293,9470000,0.947,73097619637,2.703657146
ARE,77.13129268,19.28282317,9086139,0.9086139,4.0234E+11,6.343028959
AUT,80.8902439,20.22256098,8534492,0.8534492,4.28322E+11,6.54463091
TJK,67.37460976,16.84365244,8295840,0.829584,8506615265,0.922313139
ISR,82.05609756,20.51402439,8215300,0.82153,2.90551E+11,5.390274578
CHE,82.74878049,20.68719512,8190229,0.8190229,6.85434E+11,8.279095415
HND,73.80304878,18.4507622,7961680,0.796168,18496448466,1.360016488
HPC,58.55410758,14.63852689,7961680,0.796168,5.98061E+11,7.733441465
PNG,62.43073171,15.60768293,7463577,0.7463577,15413163675,1.241497631
HKG,83.83170732,20.95792683,7241700,0.72417,2.75743E+11,5.251120365
BGR,74.46585366,18.61646341,7226291,0.7226291,54479873100,2.334092395
SRB,75.13658537,18.78414634,7129428,0.7129428,45519650911,2.133533476
SSA,56.8437765,14.21094413,7129428,0.7129428,1.63177E+12,12.77406079
TGO,56.4885122,14.12212805,7115163,0.7115163,4338575495,0.658678639
CSS,72.00008306,18.00002076,7013555,0.7013555,66803441355,2.584636171
LAO,68.24941463,17.06235366,6689300,0.66893,11189514292,1.057805005
JOR,73.90141463,18.47535366,6607000,0.6607,33593843662,1.832862342
PRY,72.2734878,18.06837195,6552518,0.6552518,28896660618,1.69990178
SLE,45.55095122,11.3877378,6315627,0.6315627,4928272986,0.702016594
LBY,75.36168293,18.84042073,6258984,0.6258984,65509594212,2.55948421
SLV,72.33892683,18.08473171,6107706,0.6107706,24259100000,1.557533306
NIC,74.78817073,18.69704268,6013913,0.6013913,10850733052,1.04166852
KGZ,70.20243902,17.55060976,5834200,0.58342,7335027592,0.856447756
DNK,80.30243902,20.07560976,5639565,0.5639565,3.35878E+11,5.795494357
SGP,82.34634146,20.58658537,5469700,0.54697,3.02246E+11,5.497689553
FIN,80.83170732,20.20792683,5463596,0.5463596,2.68197E+11,5.178773562
SVK,76.26097561,19.0652439,5418506,0.5418506,97712677179,3.125902704
TKM,65.46258537,16.36564634,5307188,0.5307188,41012982456,2.025166227
NOR,81.45121951,20.36280488,5136475,0.5136475,5.22349E+11,7.227372319
ERI,62.75463415,15.68865854,5110444,0.5110444,3444097561,0.586864342
CAF,50.13680488,12.53420122,4804316,0.4804316,1544626422,0.393017356
CRI,79.921,19.98025,4757606,0.4757606,49236710394,2.218934663
IRL,81.04390244,20.26097561,4612719,0.4612719,2.32077E+11,4.817440889
LBN,80.12887805,20.03221951,4546774,0.4546774,44352418120,2.10600138
NZL,81.40731707,20.35182927,4509700,0.45097,1.88385E+11,4.340332471
OEC,80.62795989,20.15698997,4509700,0.45097,4.59085E+13,67.75579331
OED,79.9834957,19.99587392,4509700,0.45097,4.7994E+13,69.277678
COG,58.77,14.6925,4504962,0.4504962,14085852120,1.186838326
GEO,74.0795122,18.51987805,4504100,0.45041,16140047012,1.270434847
LBR,60.53187805,15.13296951,4396554,0.4396554,1946500000,0.441191568
PSE,73.20334146,18.30083537,4294682,0.4294682,28896660618,1.69990178
HRV,77.12682927,19.28170732,4236400,0.42364,57868674298,2.405590869
OMN,76.85202439,19.2130061,4236057,0.4236057,78182574772,2.796114711
MRT,61.5117561,15.37793902,3969625,0.3969625,5057754939,0.711178946
PAN,77.57895122,19.3947378,3867535,0.3867535,42648100000,2.065141642
BIH,76.27990244,19.06997561,3817554,0.3817554,17851326454,1.336088562
LAC,74.58952112,18.64738028,3753121,0.3753121,4.76457E+12,21.8278836
KWT,74.4627561,18.61568902,3753121,0.3753121,1.75827E+11,4.193169639
MDA,68.8115122,17.20287805,3556400,0.35564,7985349731,0.893607841
PRI,78.71119512,19.67779878,3548397,0.3548397,1.03135E+11,3.211460384
URY,77.05141463,19.26285366,3419516,0.3419516,57524653094,2.398429759
ARM,74.5407561,18.63518902,3006154,0.3006154,10431217084,1.021333299
LTU,74.16341463,18.54085366,2929323,0.2929323,46403189419,2.154139954
MNG,67.54819512,16.88704878,2909871,0.2909871,12545217934,1.120054371
ALB,77.5372439,19.38431098,2894475,0.2894475,12916669736,1.136515276
JAM,73.46892683,18.36723171,2721252,0.2721252,14362262585,1.198426576
NAM,64.34387805,16.08596951,2402858,0.2402858,12932205891,1.137198571
PSS,69.88459756,17.47114939,2313337,0.2313337,7888352545,0.888163979
BWA,47.40560976,11.85140244,2219937,0.2219937,14979306814,1.223899784
QAT,78.60690244,19.65172561,2172065,0.2172065,2.03235E+11,4.508161098
LSO,49.33146341,12.33286585,2109197,0.2109197,2147680335,0.463430721
MKD,75.18802439,18.7970061,2075625,0.2075625,10767438756,1.037662698
SVN,80.27804878,20.0695122,2062218,0.2062218,47989855095,2.190658693
LVA,73.9804878,18.49512195,1990351,0.1990351,30908761928,1.75808879
GMB,58.83134146,14.70783537,1928201,0.1928201,891245556.8,0.298537361
KSV,70.79756098,17.69939024,1823149,0.1823149,7073021774,0.84101259
GNB,54.27170732,13.56792683,1800513,0.1800513,946629755.8,0.307673489
GAB,63.441,15.86025,1687673,0.1687673,17205083304,1.31168149
BHR,76.66987805,19.16746951,1361930,0.136193,32897606383,1.813769731
TTO,69.92521951,17.48130488,1354483,0.1354483,24433812700,1.563131879
EST,76.42439024,19.10609756,1313645,0.1313645,24880264958,1.577347931
SWZ,48.93792683,12.23448171,1269112,0.1269112,3530226512,0.594157093
MUS,74.46,18.615,1260934,0.1260934,11928055398,1.092156372
TLS,67.52236585,16.88059146,1212107,0.1212107,1468000000,0.383144881
CYP,79.80431707,19.95107927,1153658,0.1153658,24057251749,1.55104003
FJI,69.923,17.48075,886450,0.088645,3855042259,0.620889866
DJI,61.78695122,15.4467378,876174,0.0876174,1456344495,0.381620819
GNQ,53.11456098,13.27864024,820885,0.0820885,15580315664,1.248211347
COM,60.8574878,15.21437195,769991,0.0769991,618664794,0.248729732
BTN,68.30231707,17.07557927,765008,0.0765008,1781261413,0.422049927
HIC,79.14191201,19.785478,763893,0.0763893,5.22426E+13,72.27905688
GUY,66.20790244,16.55197561,763893,0.0763893,2990006534,0.546809522
MNE,74.75836585,18.68959146,621800,0.06218,4417255709,0.664624383
MAC,80.3437561,20.08593902,577914,0.0577914,51313818756,2.265255367
SLB,67.71690244,16.92922561,572171,0.0572171,1059690062,0.32552881
LUX,81.79756098,20.44939024,556074,0.0556074,60130847624,2.452159204
SUR,71.03163415,17.75790854,538248,0.0538248,5298787879,0.727927735
CPV,74.87068293,18.71767073,513906,0.0513906,1837909383,0.428708454
MLT,80.74634146,20.18658537,427404,0.0427404,9642848650,0.981980074
BRN,78.56643902,19.64160976,417394,0.0417394,16111135786,1.26929649
BHS,75.07256098,18.76814024,383054,0.0383054,8431750000,0.91824561
MDV,77.93536585,19.48384146,357415,0.0357415,2705145309,0.520110114
MEA,72.31590132,18.07897533,357415,0.0357415,3.55906E+12,18.86547654
BLZ,73.90487805,18.47621951,351706,0.0351706,1624294250,0.40302534
ISL,83.11707317,20.77926829,327589,0.0327589,15394553338,1.240747893
BRB,75.29641463,18.82410366,283380,0.028338,4281000000,0.654293512
PYF,76.33904878,19.0847622,279781,0.0279781,0,0
NCL,77.12195122,19.2804878,266000,0.0266,0,0
VUT,71.68682927,17.92170732,258883,0.0258883,12475999993,1.11696016
WLD,70.90675182,17.72668796,258883,0.0258883,7.6124E+13,87.24904075
WSM,73.26487805,18.31621951,191845,0.0191845,795947899.1,0.282125486
STP,66.26097561,16.5652439,186342,0.0186342,310684591.5,0.176262472
LCN,74.88023853,18.72005963,183645,0.0183645,6.25903E+12,25.01805794
LCA,74.79195122,18.6979878,183645,0.0183645,1335764111,0.365481068
LDC,61.39595423,15.34898856,183645,0.0183645,7.97876E+11,8.93239079
LIC,59.20140204,14.80035051,183645,0.0183645,3.68756E+11,6.072529176
GUM,78.87512195,19.71878049,167543,0.0167543,0,0
CHI,80.25953659,20.06488415,162917,0.0162917,0,0
KIR,68.84907317,17.21226829,110470,0.011047,168944505.2,0.129978654
VCT,72.50097561,18.1252439,109360,0.010936,718879481.5,0.26811928
GRD,72.74134146,18.18533537,106349,0.0106349,835555555.6,0.289059779
TON,72.64231707,18.16057927,105586,0.0105586,432889959.1,0.208060078
VIR,79.62439024,19.90609756,104170,0.010417,0,0
FSM,68.96097561,17.2402439,104044,0.0104044,316245700,0.177832983
ABW,75.33217073,18.83304268,103441,0.0103441,0,0
SYC,74.22682927,18.55670732,91526,0.0091526,1411033801,0.375637299
ATG,75.82929268,18.95732317,90900,0.00909,1200587519,0.346494952
ARB,70.08592474,17.52148118,72786,0.0072786,2.84348E+12,16.86262932
BMU,80.57243902,20.14310976,65181,0.0065181,5573710000,0.746572836
MIC,70.06508971,17.51627243,52898,0.0052898,2.35519E+13,48.53034554
FRO,81.3,20.325,48221,0.0048221,2613458941,0.511220006
LIE,82.38292683,20.59573171,37286,0.0037286,0,0
MAF,79.17073171,19.79268293,31530,0.003153,0,0
